[DEBUG] 2021-04-15 13:54:33.557 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-15 13:54:33.599 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-15 13:54:33.634 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-15 13:54:34.084 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-15 13:54:34.100 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-15 13:54:34.828 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-15 13:54:35.788 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-15 13:54:35.837 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-15 13:54:35.839 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-15 13:54:35.920 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-15 13:54:36.015 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@38a1c423
[DEBUG] 2021-04-15 13:54:36.015 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@38a1c423
[DEBUG] 2021-04-15 13:54:36.016 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@38a1c423
[DEBUG] 2021-04-15 13:54:36.016 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7351a16e
[DEBUG] 2021-04-15 13:54:36.017 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3ed0918d
[DEBUG] 2021-04-15 13:54:36.019 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3c0fbd3a
[DEBUG] 2021-04-15 13:54:36.022 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3721177d
[DEBUG] 2021-04-15 13:54:36.022 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3721177d
[DEBUG] 2021-04-15 13:54:36.022 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3721177d
[DEBUG] 2021-04-15 13:54:36.023 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@630d1b2f
[DEBUG] 2021-04-15 13:54:36.024 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@630d1b2f
[DEBUG] 2021-04-15 13:54:36.025 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@630d1b2f
[DEBUG] 2021-04-15 13:54:36.026 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4c2869a9
[DEBUG] 2021-04-15 13:54:36.027 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@4c2869a9
[DEBUG] 2021-04-15 13:54:36.027 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4c2869a9
[DEBUG] 2021-04-15 13:54:36.028 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@35835fa
[DEBUG] 2021-04-15 13:54:36.028 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@35835fa
[DEBUG] 2021-04-15 13:54:36.028 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@35835fa
[DEBUG] 2021-04-15 13:54:36.029 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5e8604bf
[DEBUG] 2021-04-15 13:54:36.029 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5e8604bf
[DEBUG] 2021-04-15 13:54:36.029 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5e8604bf
[DEBUG] 2021-04-15 13:54:36.030 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@546621c4
[DEBUG] 2021-04-15 13:54:36.030 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@546621c4
[DEBUG] 2021-04-15 13:54:36.031 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@546621c4
[DEBUG] 2021-04-15 13:54:36.032 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7e9da981
[DEBUG] 2021-04-15 13:54:36.032 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7e9da981
[DEBUG] 2021-04-15 13:54:36.032 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7e9da981
[DEBUG] 2021-04-15 13:54:36.033 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@476a736d
[DEBUG] 2021-04-15 13:54:36.033 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@476a736d
[DEBUG] 2021-04-15 13:54:36.034 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@576c5536
[DEBUG] 2021-04-15 13:54:36.034 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@576c5536
[DEBUG] 2021-04-15 13:54:36.035 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@159a48a6
[DEBUG] 2021-04-15 13:54:36.035 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@159a48a6
[DEBUG] 2021-04-15 13:54:36.036 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7fc645e4
[DEBUG] 2021-04-15 13:54:36.036 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@719843e5
[DEBUG] 2021-04-15 13:54:36.037 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@7cab1508
