[DEBUG] 2021-04-15 12:46:09.403 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-15 12:46:09.434 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-15 12:46:09.455 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-15 12:46:09.694 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-15 12:46:09.698 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-15 12:46:10.189 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-15 12:46:10.708 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-15 12:46:10.766 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-15 12:46:10.770 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-15 12:46:10.830 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-15 12:46:10.959 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4567e53d
[DEBUG] 2021-04-15 12:46:10.960 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4567e53d
[DEBUG] 2021-04-15 12:46:10.960 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4567e53d
[DEBUG] 2021-04-15 12:46:10.962 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4074023c
[DEBUG] 2021-04-15 12:46:10.963 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6e91893
[DEBUG] 2021-04-15 12:46:10.966 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1a35993f
[DEBUG] 2021-04-15 12:46:10.970 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14e2e1c3
[DEBUG] 2021-04-15 12:46:10.970 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14e2e1c3
[DEBUG] 2021-04-15 12:46:10.971 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@14e2e1c3
[DEBUG] 2021-04-15 12:46:10.974 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@aac3f4e
[DEBUG] 2021-04-15 12:46:10.975 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@aac3f4e
[DEBUG] 2021-04-15 12:46:10.975 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@aac3f4e
[DEBUG] 2021-04-15 12:46:10.978 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6edcd0d8
[DEBUG] 2021-04-15 12:46:10.978 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@6edcd0d8
[DEBUG] 2021-04-15 12:46:10.978 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@6edcd0d8
[DEBUG] 2021-04-15 12:46:10.980 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@2a27cb34
[DEBUG] 2021-04-15 12:46:10.980 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@2a27cb34
[DEBUG] 2021-04-15 12:46:10.980 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2a27cb34
[DEBUG] 2021-04-15 12:46:10.984 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@64aad6db
[DEBUG] 2021-04-15 12:46:10.984 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@64aad6db
[DEBUG] 2021-04-15 12:46:10.984 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@64aad6db
[DEBUG] 2021-04-15 12:46:10.988 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2822c6ff
[DEBUG] 2021-04-15 12:46:10.989 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2822c6ff
[DEBUG] 2021-04-15 12:46:10.989 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2822c6ff
[DEBUG] 2021-04-15 12:46:10.993 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@74ad8d05
[DEBUG] 2021-04-15 12:46:10.993 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@74ad8d05
[DEBUG] 2021-04-15 12:46:10.993 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@74ad8d05
[DEBUG] 2021-04-15 12:46:10.995 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7159139f
[DEBUG] 2021-04-15 12:46:10.996 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7159139f
[DEBUG] 2021-04-15 12:46:10.998 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@37c2eacb
[DEBUG] 2021-04-15 12:46:10.998 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@37c2eacb
[DEBUG] 2021-04-15 12:46:11.000 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@385ef531
[DEBUG] 2021-04-15 12:46:11.000 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@385ef531
[DEBUG] 2021-04-15 12:46:11.001 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3cbcd8f3
[DEBUG] 2021-04-15 12:46:11.003 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2301b75
[DEBUG] 2021-04-15 12:46:11.006 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4930539b
[DEBUG] 2021-04-15 12:46:11.006 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4930539b
[DEBUG] 2021-04-15 12:46:11.008 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@29a4f594
[DEBUG] 2021-04-15 12:46:11.008 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@29a4f594
[DEBUG] 2021-04-15 12:46:11.021 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5bca7664
[DEBUG] 2021-04-15 12:46:11.021 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5bca7664
[DEBUG] 2021-04-15 12:46:11.023 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@78830d9a
[DEBUG] 2021-04-15 12:46:11.023 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@78830d9a
[DEBUG] 2021-04-15 12:46:11.025 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7ad54c55
[DEBUG] 2021-04-15 12:46:11.025 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7ad54c55
[DEBUG] 2021-04-15 12:46:11.026 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@34a0ef00
[DEBUG] 2021-04-15 12:46:11.027 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@34a0ef00
[DEBUG] 2021-04-15 12:46:11.028 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@e344ad3
[DEBUG] 2021-04-15 12:46:11.029 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@e344ad3
[DEBUG] 2021-04-15 12:46:11.030 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4cbf4f53
[DEBUG] 2021-04-15 12:46:11.030 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4cbf4f53
[DEBUG] 2021-04-15 12:46:11.032 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3eee3e2b
